type,brom_ref,group,name,version,license-id
library,@babel/helper-create-class-features-plugin@7.24.7,@babel,helper-create-class-features-plugin,7.24.7,MIT
library,@babel/helper-create-regexp-features-plugin@7.22.15,@babel,helper-create-regexp-features-plugin,7.22.15,MIT
library,@babel/helper-create-regexp-features-plugin@7.24.7,@babel,helper-create-regexp-features-plugin,7.24.7,MIT
library,@babel/helper-define-polyfill-provider@0.4.2,@babel,helper-define-polyfill-provider,0.4.2,MIT
library,@babel/helper-define-polyfill-provider@0.4.4,@babel,helper-define-polyfill-provider,0.4.4,MIT
library,@babel/helper-define-polyfill-provider@0.5.0,@babel,helper-define-polyfill-provider,0.5.0,MIT
library,@babel/helper-define-polyfill-provider@0.6.2,@babel,helper-define-polyfill-provider,0.6.2,MIT
library,@babel/helper-environment-visitor@7.22.20,@babel,helper-environment-visitor,7.22.20,MIT
library,@babel/helper-environment-visitor@7.24.6,@babel,helper-environment-visitor,7.24.6,MIT
library,@babel/helper-environment-visitor@7.24.7,@babel,helper-environment-visitor,7.24.7,MIT
library,@babel/helper-function-name@7.23.0,@babel,helper-function-name,7.23.0,MIT
library,@babel/helper-function-name@7.24.6,@babel,helper-function-name,7.24.6,MIT
library,@babel/helper-function-name@7.24.7,@babel,helper-function-name,7.24.7,MIT
library,@babel/helper-hoist-variables@7.22.5,@babel,helper-hoist-variables,7.22.5,MIT
library,@babel/helper-hoist-variables@7.24.6,@babel,helper-hoist-variables,7.24.6,MIT
library,@babel/helper-hoist-variables@7.24.7,@babel,helper-hoist-variables,7.24.7,MIT
library,@babel/helper-member-expression-to-functions@7.10.1,@babel,helper-member-expression-to-functions,7.10.1,MIT
library,@babel/helper-member-expression-to-functions@7.14.5,@babel,helper-member-expression-to-functions,7.14.5,MIT
library,@babel/helper-member-expression-to-functions@7.23.0,@babel,helper-member-expression-to-functions,7.23.0,MIT
library,@babel/helper-member-expression-to-functions@7.24.7,@babel,helper-member-expression-to-functions,7.24.7,MIT
library,@babel/helper-module-imports@7.10.1,@babel,helper-module-imports,7.10.1,MIT
library,@babel/helper-module-imports@7.14.5,@babel,helper-module-imports,7.14.5,MIT
library,@babel/helper-module-imports@7.18.6,@babel,helper-module-imports,7.18.6,MIT
library,@babel/helper-module-imports@7.22.15,@babel,helper-module-imports,7.22.15,MIT
library,@babel/helper-module-imports@7.22.5,@babel,helper-module-imports,7.22.5,MIT
library,@babel/helper-module-imports@7.24.6,@babel,helper-module-imports,7.24.6,MIT
library,@babel/helper-module-imports@7.24.7,@babel,helper-module-imports,7.24.7,MIT
library,@babel/helper-module-transforms@7.10.1,@babel,helper-module-transforms,7.10.1,MIT
library,@babel/helper-module-transforms@7.14.5,@babel,helper-module-transforms,7.14.5,MIT
library,@babel/helper-module-transforms@7.18.8,@babel,helper-module-transforms,7.18.8,MIT
library,@babel/helper-module-transforms@7.18.9,@babel,helper-module-transforms,7.18.9,MIT
library,@babel/helper-module-transforms@7.19.0,@babel,helper-module-transforms,7.19.0,MIT
library,@babel/helper-module-transforms@7.22.9,@babel,helper-module-transforms,7.22.9,MIT
library,@babel/helper-module-transforms@7.23.0,@babel,helper-module-transforms,7.23.0,MIT
library,@babel/helper-module-transforms@7.23.3,@babel,helper-module-transforms,7.23.3,MIT
library,@babel/helper-module-transforms@7.24.6,@babel,helper-module-transforms,7.24.6,MIT
library,@babel/helper-module-transforms@7.24.7,@babel,helper-module-transforms,7.24.7,MIT
library,@babel/helper-module-transforms@7.24.9,@babel,helper-module-transforms,7.24.9,MIT
library,@babel/helper-optimise-call-expression@7.10.1,@babel,helper-optimise-call-expression,7.10.1,MIT
library,@babel/helper-optimise-call-expression@7.14.5,@babel,helper-optimise-call-expression,7.14.5,MIT
library,@babel/helper-optimise-call-expression@7.22.5,@babel,helper-optimise-call-expression,7.22.5,MIT
library,@babel/helper-optimise-call-expression@7.24.7,@babel,helper-optimise-call-expression,7.24.7,MIT
library,@babel/helper-plugin-utils@7.14.5,@babel,helper-plugin-utils,7.14.5,MIT
library,@babel/helper-plugin-utils@7.22.5,@babel,helper-plugin-utils,7.22.5,MIT
library,@babel/helper-plugin-utils@7.24.0,@babel,helper-plugin-utils,7.24.0,MIT
library,@babel/helper-plugin-utils@7.24.6,@babel,helper-plugin-utils,7.24.6,MIT
library,@babel/helper-plugin-utils@7.24.7,@babel,helper-plugin-utils,7.24.7,MIT
library,@babel/helper-plugin-utils@7.24.8,@babel,helper-plugin-utils,7.24.8,MIT
library,@babel/helper-remap-async-to-generator@7.22.20,@babel,helper-remap-async-to-generator,7.22.20,MIT
library,@babel/helper-remap-async-to-generator@7.24.7,@babel,helper-remap-async-to-generator,7.24.7,MIT
library,@babel/helper-replace-supers@7.10.1,@babel,helper-replace-supers,7.10.1,MIT
library,@babel/helper-replace-supers@7.14.5,@babel,helper-replace-supers,7.14.5,MIT
library,@babel/helper-replace-supers@7.22.20,@babel,helper-replace-supers,7.22.20,MIT
library,@babel/helper-replace-supers@7.24.7,@babel,helper-replace-supers,7.24.7,MIT
library,@babel/helper-simple-access@7.10.1,@babel,helper-simple-access,7.10.1,MIT
library,@babel/helper-simple-access@7.14.5,@babel,helper-simple-access,7.14.5,MIT
library,@babel/helper-simple-access@7.18.6,@babel,helper-simple-access,7.18.6,MIT
library,@babel/helper-simple-access@7.22.5,@babel,helper-simple-access,7.22.5,MIT
library,@babel/helper-simple-access@7.24.6,@babel,helper-simple-access,7.24.6,MIT
library,@babel/helper-simple-access@7.24.7,@babel,helper-simple-access,7.24.7,MIT
