dependency,version,services
@apollo/utils.dropunuseddefinitions,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.fetcher,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.isnodelike,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.keyvaluecache,2.1.1,reporting-hub-bop-api-svc
@apollo/utils.logger,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.printwithreducedwhitespace,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.removealiases,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.sortast,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.stripsensitiveliterals,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.usagereporting,2.0.1,reporting-hub-bop-api-svc
@apollo/utils.withrequired,2.0.1,reporting-hub-bop-api-svc
@apollographql/graphql-playground-html,1.6.29,reporting-hub-bop-api-svc
@asamuzakjp/dom-selector,2.0.1,merchant-registry-svc
@assemblyscript/loader,0.10.1,platform-shared-tools
@ava/typescript,5.0.0,event-sidecar
@aws-crypto/crc32,3.0.0,merchant-registry-svc
@aws-crypto/crc32c,3.0.0,merchant-registry-svc
@aws-crypto/ie11-detection,3.0.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-crypto/sha1-browser,3.0.0,merchant-registry-svc
@aws-crypto/sha256-browser,3.0.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-crypto/sha256-js,3.0.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-crypto/supports-web-crypto,3.0.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-crypto/util,3.0.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-sdk/client-cognito-identity,3.577.0,reporting-events-processor-svc
@aws-sdk/client-s3,3.435.0,merchant-registry-svc
@aws-sdk/client-sso-oidc,3.577.0,reporting-events-processor-svc
@aws-sdk/client-sso,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/client-sts,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/core,3.576.0,reporting-events-processor-svc
@aws-sdk/credential-provider-cognito-identity,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-env,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-http,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-ini,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-node,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-process,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-sso,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-provider-web-identity,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/credential-providers,3.577.0,reporting-events-processor-svc
@aws-sdk/lib-storage,3.435.0,merchant-registry-svc
@aws-sdk/middleware-bucket-endpoint,3.433.0,merchant-registry-svc
@aws-sdk/middleware-expect-continue,3.433.0,merchant-registry-svc
@aws-sdk/middleware-flexible-checksums,3.433.0,merchant-registry-svc
@aws-sdk/middleware-host-header,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/middleware-location-constraint,3.433.0,merchant-registry-svc
@aws-sdk/middleware-logger,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/middleware-recursion-detection,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/middleware-sdk-s3,3.433.0,merchant-registry-svc
@aws-sdk/middleware-sdk-sts,3.433.0,merchant-registry-svc
@aws-sdk/middleware-signing,3.433.0,merchant-registry-svc
@aws-sdk/middleware-ssec,3.433.0,merchant-registry-svc
@aws-sdk/middleware-user-agent,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/region-config-resolver,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/signature-v4-multi-region,3.433.0,merchant-registry-svc
@aws-sdk/token-providers,3.435.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/types,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/util-arn-parser,3.310.0,merchant-registry-svc
@aws-sdk/util-endpoints,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/util-locate-window,3.310.0,merchant-registry-svc
,3.568.0,reporting-events-processor-svc
@aws-sdk/util-user-agent-browser,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/util-user-agent-node,3.433.0,merchant-registry-svc
,3.577.0,reporting-events-processor-svc
@aws-sdk/util-utf8-browser,3.259.0,merchant-registry-svc
,,reporting-events-processor-svc
@aws-sdk/xml-builder,3.310.0,merchant-registry-svc
@babel/code-frame,7.0.0,finance-portal-lib
,7.10.1,oracle-shared-library
,7.10.3,finance-portal-lib
,7.10.4,ml-testing-toolkit-ui
,7.12.11,alias-oracle
,,als-oracle-pathfinder
,,mfi-account-oracle
,,ml-testing-toolkit-ui
,,mojaloop-simulator
,7.12.13,ml-iso-hackathon
,,operator-settlement
,,settlement-management
,7.14.5,alias-oracle
,,mojaloop-business-docs
,7.16.0,reporting-hub-bop-api-svc
,,reporting
,7.16.7,mfi-account-oracle
,,pisp-project
,7.18.6,platform-shared-lib
,,simulator
,7.22.13,alias-oracle
,,api-snippets
,,auditing-bc
,,documentation
,,merchant-registry-svc
,,ml-testing-toolkit-shared-lib
,,mojaloop-simulator
,,transaction-requests-service
,7.22.5,security-rbac-tests
,7.23.5,als-oracle-pathfinder
,,beneficiary-management-system-svc
,,logging-bc
,,mifos-core-connector
,,ml-testing-toolkit-client-lib
,,payment-token-adapter
,,role-assignment-service
,,security-role-perm-operator-svc
,7.24.1,central-services-error-handling
,,central-services-health
,7.24.2,central-services-metrics
,,ml-number
,,ml-testing-toolkit-ui
,,object-store-lib
,,reporting-bc
,,reporting-events-processor-svc
,,sdk-standard-components
,7.24.6,account-lookup-bc
,,platform-shared-tools
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-logger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,interop-apis-bc
,,ml-testing-toolkit
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,settlements-bc
,,thirdparty-api-svc
,,transfers-bc
,,typescript-bc-template
,7.5.5,settlement-management
,7.8.3,poc-architecture
@babel/compat-data,7.14.5,alias-oracle
,7.15.0,mojaloop-business-docs
,7.16.0,reporting-hub-bop-api-svc
,7.16.4,reporting
,7.17.10,ml-testing-toolkit-client-lib
,,object-store-lib
,7.17.7,mfi-account-oracle
,7.18.5,pisp-project
,7.18.8,als-oracle-pathfinder
,,central-services-error-handling
,7.19.0,api-snippets
